symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
HINDUNILVR
INFY
HDFC
ITC
SBIN
BHARTIARTL
KOTAKBANK
BAJFINANCE
LICI
LT
HCLTECH
ASIANPAINT
AXISBANK
MARUTI
SUNPHARMA
TITAN
DMART
ULTRACEMCO
BAJAJFINSV
WIPRO
ADANIENT
ONGC
NTPC
JSWSTEEL
POWERGRID
M&M
LTIM
TATAMOTORS
ADANIGREEN
ADANIPORTS
COALINDIA
TATASTEEL
HINDZINC
PIDILITIND
SIEMENS
ADANITRANS
SBILIFE
IOC
BAJAJ-AUTO
GRASIM
TECHM
HDFCLIFE
BRITANNIA
VEDL
GODREJCP
DABUR
ATGL
SHREECEM
HAL
HINDALCO
VBL
DLF
BANKBARODA
INDUSINDBK
EICHERMOT
DRREDDY
DIVISLAB
BPCL
HAVELLS
ADANIPOWER
INDIGO
CIPLA
AMBUJACEM
SRF
ABB
BEL
SBICARD
GAIL
BAJAJHLDNG
TATACONSUM
ICICIPRULI
CHOLAFIN
MARICO
APOLLOHOSP
TATAPOWER
BOSCHLTD
BERGEPAINT
JINDALSTEL
MCDOWELL-N
UPL
AWL
ICICIGI
TORNTPHARM
CANBK
PNB
TVSMOTOR
ZYDUSLIFE
TIINDIA
TRENT
IDBI
NAUKRI
SHRIRAMFIN
HEROMOTOCO
INDHOTEL
PIIND
IRCTC
CGPOWER
UNIONBANK
MOTHERSON
CUMMINSIND
SCHAEFFLER
LODHA
ZOMATO
PGHH
YESBANK
POLYCAB
MAXHEALTH
IOB
PAGEIND
COLPAL
ASHOKLEY
ALKEM
NHPC
PAYTM
PFC
JSWENERGY
MUTHOOTFIN
AUBANK
INDUSTOWER
BALKRISIND
UBL
ABCAPITAL
TATAELXSI
DALBHARAT
HDFCAMC
INDIANB
ASTRAL
BHARATFORG
LTTS
MRF
TATACOMM
NYKAA
CONCOR
PERSISTENT
PATANJALI
IRFC
LINDEINDIA
IDFCFIRSTB
PETRONET
SOLARINDS
SAIL
MPHASIS
HINDPETRO
APLAPOLLO
FLUOROCHEM
NMDC
HONAUT
SUPREMEIND
GUJGASLTD
BANDHANBNK
ACC
OBEROIRLTY
BANKINDIA
RECLTD
AUROPHARMA
STARHEALTH
IGL
LUPIN
UCOBANK
JUBLFOOD
POLICYBZR
GODREJPROP
M&MFIN
IDEA
OFSS
FEDERALBNK
MANYAVAR
UNOMINDA
AIAENG
THERMAX
OIL
VOLTAS
3MINDIA
COROMANDEL
SUNDARMFIN
KPITTECH
DEEPAKNTR
ESCORTS
BIOCON
TATACHEM
TORNTPOWER
GMRINFRA
BHEL
SONACOMS
DELHIVERY
SYNGENE
CRISIL
GICRE
COFORGE
PHOENIXLTD
JKCEMENT
POONAWALLA
GLAXO
MFSL
METROBRAND
MSUMI
